ID     | Command line             | Date and time    | Action(s)      | Altered
-------------------------------------------------------------------------------
    23 | -y install --disablerepo | 2026-02-01 21:21 | Install        |    4   
    22 | -y install --disablerepo | 2026-02-01 21:20 | Install        |   80   
    21 | -y install --disablerepo | 2026-02-01 21:20 | Install        |    1   
    20 | -y install --disablerepo | 2026-02-01 21:20 | Install        |    2   
    19 | -y install --disablerepo | 2026-02-01 21:20 | Install        |    1   
    18 | -y install --disablerepo | 2026-02-01 21:20 | Install        |    1   
    17 | -y install --disablerepo | 2026-02-01 21:20 | Install        |    2   
    16 | -y install --disablerepo | 2026-02-01 21:20 | Install        |    9   
    15 | -y install --disablerepo | 2026-02-01 21:20 | Install        |    1   
    14 | -y install --disablerepo | 2026-02-01 21:20 | Install        |   19   
    13 | -y install --disablerepo | 2026-02-01 21:20 | Install        |    1   
    12 | -y install --disablerepo | 2026-02-01 21:20 | Install        |   11 EE
    11 | -y install --disablerepo | 2026-02-01 21:20 | Install        |    3   
    10 | -y install --disablerepo | 2026-02-01 21:19 | Install        |   92   
     9 | -y install --disablerepo | 2026-02-01 21:19 | Install        |    3   
     8 | -y install --disablerepo | 2026-02-01 21:19 | Install        |    1   
     7 | -y install --disablerepo | 2026-02-01 21:19 | Install        |    1   
     6 | -y install --disablerepo | 2026-02-01 21:19 | Install        |    1   
     5 | -y install --disablerepo | 2026-02-01 21:19 | Install        |    2   
     4 | -y install --disablerepo | 2026-02-01 21:19 | Install        |   10   
     3 | -y install --disablerepo | 2026-02-01 21:19 | Install        |    2   
     2 | -y install --disablerepo | 2026-02-01 21:19 | Install        |   18   
     1 |                          | 2025-11-19 07:29 | Install        |  430 EE
